Harvest Hope Community Food Bank  |  Donations Log,,,,,,,,,,,
"To log a new donation: enter Date (col B), Item ID (col C), Qty Received (col G), Expiration Date (col H), and Donor Type (col K). Other fields fill automatically.",,,,,,,,,,,
DON-0201,09/12/2025,FI024,Pancake Mix,Breakfast,Box (32 oz),21,4/13/2026,-74,EXPIRED,Government Surplus,
DON-0202,09/14/2025,FI049,Cooking Oil (32 oz),Pantry Staples,Bottle (32 oz),21,8/5/2026,40,OK,School Drive,
DON-0203,09/14/2025,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),46,3/23/2027,270,OK,School Drive,
DON-0204,09/14/2025,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),24,7/24/2027,393,OK,School Drive,
DON-0205,09/14/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),85,8/24/2027,424,OK,School Drive,
DON-0206,09/14/2025,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),54,1/26/2028,579,OK,School Drive,
DON-0207,09/17/2025,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),57,2/23/2026,-123,EXPIRED,Corporate Drive,
DON-0208,09/17/2025,FI049,Cooking Oil (32 oz),Pantry Staples,Bottle (32 oz),16,5/21/2026,-36,EXPIRED,Corporate Drive,
DON-0209,09/17/2025,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),17,8/14/2026,49,OK,Corporate Drive,
DON-0210,09/17/2025,FI004,Canned Black Beans,Canned Protein,Can (15 oz),106,12/13/2026,170,OK,Corporate Drive,
DON-0211,09/17/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),35,8/2/2027,402,OK,Corporate Drive,
DON-0212,09/17/2025,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),61,4/15/2028,659,OK,Corporate Drive,
DON-0213,09/17/2025,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),36,6/22/2028,727,OK,Corporate Drive,
DON-0214,09/18/2025,FI039,White Sandwich Bread,Bread & Bakery,Loaf,35,9/25/2025,-274,EXPIRED,Community Drive,
DON-0215,09/18/2025,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),27,10/25/2025,-244,EXPIRED,Community Drive,
DON-0216,09/18/2025,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),24,4/2/2026,-85,EXPIRED,Community Drive,
DON-0217,09/18/2025,FI007,Peanut Butter,Canned Protein,Jar (16 oz),100,5/22/2026,-35,EXPIRED,Community Drive,
DON-0218,09/18/2025,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),19,7/17/2026,21,NOTICE,Community Drive,
DON-0219,09/18/2025,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),34,8/18/2026,53,OK,Community Drive,
DON-0220,09/18/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),70,4/10/2027,288,OK,Community Drive,
DON-0221,09/18/2025,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),9,9/7/2027,438,OK,Community Drive,
DON-0222,09/19/2025,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,19,9/30/2025,-269,EXPIRED,School Drive,
DON-0223,09/19/2025,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,22,9/30/2025,-269,EXPIRED,Church Drive,
DON-0224,09/19/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),19,11/4/2025,-234,EXPIRED,School Drive,
DON-0225,09/19/2025,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),61,3/6/2026,-112,EXPIRED,Church Drive,
DON-0226,09/19/2025,FI023,Breakfast Cereal,Breakfast,Box (18 oz),25,7/21/2026,25,NOTICE,Church Drive,
DON-0227,09/19/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),45,1/19/2027,207,OK,Church Drive,
DON-0228,09/19/2025,FI013,Canned Peaches,Canned Fruit,Can (15 oz),34,5/3/2027,311,OK,School Drive,
DON-0229,09/19/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),65,5/26/2027,334,OK,School Drive,
DON-0230,09/19/2025,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),47,6/12/2027,351,OK,School Drive,
DON-0231,09/19/2025,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),17,6/24/2027,363,OK,School Drive,
DON-0232,09/19/2025,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),37,9/18/2027,449,OK,Church Drive,
DON-0233,09/19/2025,FI001,Canned Tuna,Canned Protein,Can (5 oz),83,2/3/2028,587,OK,School Drive,
DON-0234,09/19/2025,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),13,10/15/2028,842,OK,Church Drive,
DON-0235,09/24/2025,FI040,Whole Wheat Bread,Bread & Bakery,Loaf,51,9/28/2025,-271,EXPIRED,Government Surplus,
DON-0236,09/24/2025,FI039,White Sandwich Bread,Bread & Bakery,Loaf,26,9/30/2025,-269,EXPIRED,Government Surplus,
DON-0237,09/24/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),31,10/24/2025,-245,EXPIRED,Government Surplus,
DON-0238,09/24/2025,FI025,Granola Bars,Breakfast,Box (8 bars),53,12/19/2025,-189,EXPIRED,Government Surplus,
DON-0239,09/24/2025,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),64,11/24/2026,151,OK,Government Surplus,
DON-0240,09/24/2025,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),75,6/21/2027,360,OK,Government Surplus,
DON-0241,09/24/2025,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),20,12/14/2027,536,OK,Government Surplus,
DON-0242,09/25/2025,FI039,White Sandwich Bread,Bread & Bakery,Loaf,31,10/1/2025,-268,EXPIRED,Individual Donor,
DON-0243,09/25/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),29,10/27/2025,-242,EXPIRED,Individual Donor,
DON-0244,09/25/2025,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),70,6/1/2026,-25,EXPIRED,Individual Donor,
DON-0245,09/25/2025,FI005,Canned Kidney Beans,Canned Protein,Can (15 oz),70,10/28/2026,124,OK,Individual Donor,
DON-0246,09/25/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),36,5/22/2027,330,OK,Individual Donor,
DON-0247,09/25/2025,FI011,Canned Diced Tomatoes,Canned Vegetables,Can (14.5 oz),76,11/11/2027,503,OK,Individual Donor,
DON-0248,09/25/2025,FI005,Canned Kidney Beans,Canned Protein,Can (15 oz),104,12/18/2027,540,OK,Individual Donor,
DON-0249,09/25/2025,FI001,Canned Tuna,Canned Protein,Can (5 oz),55,1/2/2028,555,OK,Individual Donor,
DON-0250,09/25/2025,FI010,Canned Peas,Canned Vegetables,Can (15 oz),106,4/29/2028,673,OK,Individual Donor,
DON-0251,09/25/2025,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),95,6/26/2028,731,OK,Individual Donor,
DON-0252,09/25/2025,FI004,Canned Black Beans,Canned Protein,Can (15 oz),43,8/30/2028,796,OK,Individual Donor,
DON-0253,09/25/2025,FI011,Canned Diced Tomatoes,Canned Vegetables,Can (14.5 oz),69,9/17/2028,814,OK,Individual Donor,
DON-0254,10/02/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),11,11/17/2025,-221,EXPIRED,School Drive,
DON-0255,10/02/2025,FI032,Baby Food - Vegetable,Baby & Infant,Jar (4 oz),9,9/3/2026,69,OK,School Drive,
DON-0256,10/02/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),55,5/31/2027,339,OK,School Drive,
DON-0257,10/02/2025,FI008,Canned Corn,Canned Vegetables,Can (15 oz),120,1/17/2028,570,OK,School Drive,
DON-0258,10/02/2025,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),37,4/18/2028,662,OK,School Drive,
DON-0259,10/02/2025,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),125,6/16/2028,721,OK,School Drive,
DON-0260,10/02/2025,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),92,7/26/2028,761,OK,School Drive,
DON-0261,10/03/2025,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),40,2/14/2026,-132,EXPIRED,Government Surplus,
DON-0262,10/03/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),28,5/4/2026,-53,EXPIRED,Government Surplus,
DON-0263,10/03/2025,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),23,6/8/2026,-18,EXPIRED,Government Surplus,
DON-0264,10/03/2025,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),79,10/4/2026,100,OK,Government Surplus,
DON-0265,10/03/2025,FI008,Canned Corn,Canned Vegetables,Can (15 oz),95,11/24/2026,151,OK,Government Surplus,
DON-0266,10/03/2025,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),94,11/20/2027,512,OK,Government Surplus,
DON-0267,10/03/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),73,4/10/2028,654,OK,Government Surplus,
DON-0268,10/04/2025,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),22,10/8/2025,-261,EXPIRED,Grocery Rescue,
DON-0269,10/04/2025,FI039,White Sandwich Bread,Bread & Bakery,Loaf,39,10/10/2025,-259,EXPIRED,Grocery Rescue,
DON-0270,10/04/2025,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),63,7/24/2026,28,NOTICE,Grocery Rescue,
DON-0271,10/04/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),21,8/14/2026,49,OK,Grocery Rescue,
DON-0272,10/04/2025,FI002,Canned Chicken,Canned Protein,Can (12.5 oz),41,3/18/2028,631,OK,Grocery Rescue,
DON-0273,10/04/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),78,5/15/2028,689,OK,Grocery Rescue,
DON-0274,10/04/2025,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),36,8/24/2028,790,OK,Grocery Rescue,
DON-0275,10/06/2025,FI041,Flour Tortillas,Bread & Bakery,Pack (20 ct),40,10/26/2025,-243,EXPIRED,Restaurant Partner,
DON-0276,10/06/2025,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),19,11/16/2025,-222,EXPIRED,Restaurant Partner,
DON-0277,10/06/2025,FI032,Baby Food - Vegetable,Baby & Infant,Jar (4 oz),14,6/10/2026,-16,EXPIRED,Restaurant Partner,
DON-0278,10/06/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),46,1/21/2027,209,OK,Restaurant Partner,
DON-0279,10/06/2025,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),125,1/30/2028,583,OK,Restaurant Partner,
DON-0280,10/07/2025,FI046,Yellow Onions (3 lb),Fresh Produce,Bag (3 lb),31,11/1/2025,-237,EXPIRED,Individual Donor,
DON-0281,10/07/2025,FI033,Baby Food - Fruit,Baby & Infant,Jar (4 oz),9,3/25/2026,-93,EXPIRED,Individual Donor,
DON-0282,10/07/2025,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),52,8/15/2026,50,OK,Individual Donor,
DON-0283,10/07/2025,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),37,2/22/2027,241,OK,Individual Donor,
DON-0284,10/07/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),30,3/16/2027,263,OK,Individual Donor,
DON-0285,10/07/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),79,7/16/2027,385,OK,Individual Donor,
DON-0286,10/09/2025,FI040,Whole Wheat Bread,Bread & Bakery,Loaf,30,10/13/2025,-256,EXPIRED,Grocery Rescue,
DON-0287,10/09/2025,FI042,Apples,Fresh Produce,Bag (3 lb),25,10/19/2025,-250,EXPIRED,Grocery Rescue,
DON-0288,10/09/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),26,11/29/2025,-209,EXPIRED,Grocery Rescue,
DON-0289,10/09/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),23,5/2/2026,-55,EXPIRED,Grocery Rescue,
DON-0290,10/09/2025,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),57,9/14/2026,80,OK,Grocery Rescue,
DON-0291,10/09/2025,FI026,Canned Chicken Noodle Soup,Soups & Meals,Can (10.75 oz),80,11/14/2026,141,OK,Grocery Rescue,
DON-0292,10/10/2025,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),58,6/2/2026,-24,EXPIRED,School Drive,
DON-0293,10/10/2025,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),31,6/13/2026,-13,EXPIRED,School Drive,
DON-0294,10/10/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),56,4/2/2027,280,OK,School Drive,
DON-0295,10/11/2025,FI043,Bananas,Fresh Produce,Bunch (~7),23,10/19/2025,-250,EXPIRED,Government Surplus,
DON-0296,10/11/2025,FI042,Apples,Fresh Produce,Bag (3 lb),32,10/31/2025,-238,EXPIRED,Government Surplus,
DON-0297,10/11/2025,FI032,Baby Food - Vegetable,Baby & Infant,Jar (4 oz),16,6/5/2026,-21,EXPIRED,Government Surplus,
DON-0298,10/11/2025,FI010,Canned Peas,Canned Vegetables,Can (15 oz),114,1/21/2027,209,OK,Government Surplus,
DON-0299,10/11/2025,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),31,3/7/2027,254,OK,Government Surplus,
DON-0300,10/11/2025,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),76,8/11/2028,777,OK,Government Surplus,
DON-0301,10/12/2025,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,32,10/19/2025,-250,EXPIRED,Restaurant Partner,
DON-0302,10/12/2025,FI025,Granola Bars,Breakfast,Box (8 bars),16,3/16/2026,-102,EXPIRED,Restaurant Partner,
DON-0303,10/12/2025,FI049,Cooking Oil (32 oz),Pantry Staples,Bottle (32 oz),28,4/10/2026,-77,EXPIRED,Restaurant Partner,
DON-0304,10/12/2025,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),40,5/3/2026,-54,EXPIRED,Restaurant Partner,
DON-0305,10/12/2025,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),21,9/30/2029,1192,OK,Restaurant Partner,
DON-0306,10/13/2025,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),26,10/18/2025,-251,EXPIRED,School Drive,
DON-0307,10/13/2025,FI007,Peanut Butter,Canned Protein,Jar (16 oz),33,9/2/2026,68,OK,School Drive,
DON-0308,10/13/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),45,11/11/2026,138,OK,School Drive,
DON-0309,10/13/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),59,9/22/2028,819,OK,School Drive,
DON-0310,10/16/2025,FI043,Bananas,Fresh Produce,Bunch (~7),34,10/23/2025,-246,EXPIRED,Community Drive,
DON-0311,10/16/2025,FI041,Flour Tortillas,Bread & Bakery,Pack (20 ct),41,11/9/2025,-229,EXPIRED,Community Drive,
DON-0312,10/16/2025,FI049,Cooking Oil (32 oz),Pantry Staples,Bottle (32 oz),24,5/13/2026,-44,EXPIRED,Community Drive,
DON-0313,10/16/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),59,8/6/2026,41,OK,Community Drive,
DON-0314,10/16/2025,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),60,12/30/2026,187,OK,Community Drive,
DON-0315,10/16/2025,FI001,Canned Tuna,Canned Protein,Can (5 oz),72,12/24/2027,546,OK,Community Drive,
DON-0316,10/17/2025,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),46,12/29/2026,186,OK,Church Drive,
DON-0317,10/17/2025,FI010,Canned Peas,Canned Vegetables,Can (15 oz),54,1/5/2027,193,OK,Church Drive,
DON-0318,10/17/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),61,4/19/2027,297,OK,Church Drive,
DON-0319,10/17/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),57,6/5/2028,710,OK,Church Drive,
DON-0320,10/17/2025,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),17,10/22/2028,849,OK,Church Drive,
DON-0321,10/22/2025,FI039,White Sandwich Bread,Bread & Bakery,Loaf,33,10/29/2025,-240,EXPIRED,Corporate Drive,
DON-0322,10/22/2025,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),24,11/4/2025,-234,EXPIRED,Corporate Drive,
DON-0323,10/22/2025,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),27,2/28/2026,-118,EXPIRED,Corporate Drive,
DON-0324,10/22/2025,FI023,Breakfast Cereal,Breakfast,Box (18 oz),36,5/10/2026,-47,EXPIRED,Corporate Drive,
DON-0325,10/22/2025,FI032,Baby Food - Vegetable,Baby & Infant,Jar (4 oz),11,9/1/2026,67,OK,Corporate Drive,
DON-0326,10/22/2025,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),62,3/11/2027,258,OK,Corporate Drive,
DON-0327,10/22/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),51,5/25/2027,333,OK,Corporate Drive,
DON-0328,10/25/2025,FI025,Granola Bars,Breakfast,Box (8 bars),27,2/7/2026,-139,EXPIRED,School Drive,
DON-0329,10/25/2025,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),16,8/21/2026,56,OK,School Drive,
DON-0330,10/25/2025,FI007,Peanut Butter,Canned Protein,Jar (16 oz),49,9/23/2026,89,OK,School Drive,
DON-0331,10/25/2025,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),48,11/12/2026,139,OK,School Drive,
DON-0332,10/26/2025,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),38,9/6/2026,72,OK,Church Drive,
DON-0333,10/26/2025,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),60,10/23/2026,119,OK,Church Drive,
DON-0334,10/26/2025,FI019,Pasta - Penne,Dry Goods,Box (16 oz),56,11/4/2026,131,OK,Church Drive,
DON-0335,10/26/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),65,8/1/2027,401,OK,Church Drive,
DON-0336,10/26/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),56,8/24/2027,424,OK,Church Drive,
DON-0337,10/26/2025,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),105,10/7/2027,468,OK,Church Drive,
DON-0338,10/26/2025,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),109,11/4/2027,496,OK,Church Drive,
DON-0339,10/26/2025,FI013,Canned Peaches,Canned Fruit,Can (15 oz),69,2/17/2028,601,OK,Church Drive,
DON-0340,10/28/2025,FI024,Pancake Mix,Breakfast,Box (32 oz),46,3/25/2026,-93,EXPIRED,Community Drive,
DON-0341,10/28/2025,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),10,11/9/2025,-229,EXPIRED,Community Drive,
DON-0342,10/28/2025,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,25,11/11/2025,-227,EXPIRED,Community Drive,
DON-0343,10/28/2025,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),22,11/14/2025,-224,EXPIRED,Community Drive,
DON-0344,10/28/2025,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),15,3/29/2026,-89,EXPIRED,Community Drive,
DON-0345,10/28/2025,FI026,Canned Chicken Noodle Soup,Soups & Meals,Can (10.75 oz),72,7/23/2027,392,OK,Community Drive,
DON-0346,10/28/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),74,2/22/2028,606,OK,Community Drive,
DON-0347,10/28/2025,FI001,Canned Tuna,Canned Protein,Can (5 oz),51,7/13/2028,748,OK,Community Drive,
DON-0348,11/01/2025,FI024,Pancake Mix,Breakfast,Box (32 oz),36,4/2/2026,-85,EXPIRED,Grocery Rescue,
DON-0349,11/01/2025,FI040,Whole Wheat Bread,Bread & Bakery,Loaf,31,11/6/2025,-232,EXPIRED,Grocery Rescue,
DON-0350,11/01/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),29,12/16/2025,-192,EXPIRED,Grocery Rescue,
DON-0351,11/01/2025,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),46,6/18/2027,357,OK,Grocery Rescue,
DON-0352,11/01/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),161,11/7/2027,499,OK,Grocery Rescue,
DON-0353,11/01/2025,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),103,8/22/2028,788,OK,Grocery Rescue,
DON-0354,11/03/2025,FI042,Apples,Fresh Produce,Bag (3 lb),36,11/16/2025,-222,EXPIRED,Grocery Rescue,
DON-0355,11/03/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),52,11/30/2025,-208,EXPIRED,Grocery Rescue,
DON-0356,11/03/2025,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),46,10/17/2026,113,OK,Grocery Rescue,
DON-0357,11/03/2025,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),130,4/10/2027,288,OK,Grocery Rescue,
DON-0358,11/03/2025,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),161,9/10/2027,441,OK,Grocery Rescue,
DON-0359,11/03/2025,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),184,1/6/2028,559,OK,Grocery Rescue,
DON-0360,11/03/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),104,9/19/2028,816,OK,Grocery Rescue,
DON-0361,11/03/2025,FI008,Canned Corn,Canned Vegetables,Can (15 oz),185,10/16/2028,843,OK,Grocery Rescue,
DON-0362,11/04/2025,FI043,Bananas,Fresh Produce,Bunch (~7),39,11/7/2025,-231,EXPIRED,Restaurant Partner,
DON-0363,11/04/2025,FI042,Apples,Fresh Produce,Bag (3 lb),25,11/13/2025,-225,EXPIRED,Restaurant Partner,
DON-0364,11/04/2025,FI014,Canned Pears,Canned Fruit,Can (15 oz),41,10/11/2027,472,OK,Restaurant Partner,
DON-0365,11/05/2025,FI039,White Sandwich Bread,Bread & Bakery,Loaf,27,11/9/2025,-229,EXPIRED,Community Drive,
DON-0366,11/05/2025,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),58,4/19/2026,-68,EXPIRED,Community Drive,
DON-0367,11/05/2025,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),87,7/14/2026,18,NOTICE,Community Drive,
DON-0368,11/05/2025,FI010,Canned Peas,Canned Vegetables,Can (15 oz),74,12/1/2026,158,OK,Community Drive,
DON-0369,11/05/2025,FI014,Canned Pears,Canned Fruit,Can (15 oz),108,4/2/2027,280,OK,Community Drive,
DON-0370,11/05/2025,FI001,Canned Tuna,Canned Protein,Can (5 oz),156,7/6/2027,375,OK,Community Drive,
DON-0371,11/05/2025,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),118,5/11/2028,685,OK,Community Drive,
DON-0372,11/06/2025,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),30,11/15/2025,-223,EXPIRED,School Drive,
DON-0373,11/06/2025,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),129,1/10/2027,198,OK,School Drive,
DON-0374,11/06/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),111,2/25/2027,244,OK,School Drive,
DON-0375,11/08/2025,FI043,Bananas,Fresh Produce,Bunch (~7),31,11/12/2025,-226,EXPIRED,Community Drive,
DON-0376,11/08/2025,FI042,Apples,Fresh Produce,Bag (3 lb),18,11/19/2025,-219,EXPIRED,Community Drive,
DON-0377,11/08/2025,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),44,3/29/2026,-89,EXPIRED,Community Drive,
DON-0378,11/08/2025,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),47,10/11/2026,107,OK,Community Drive,
DON-0379,11/08/2025,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),177,1/9/2027,197,OK,Community Drive,
DON-0380,11/08/2025,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),89,4/8/2027,286,OK,Community Drive,
DON-0381,11/08/2025,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),23,1/2/2030,1286,OK,Community Drive,
DON-0382,11/13/2025,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,37,11/23/2025,-215,EXPIRED,Grocery Rescue,
DON-0383,11/13/2025,FI049,Cooking Oil (32 oz),Pantry Staples,Bottle (32 oz),46,8/3/2026,38,OK,Grocery Rescue,
DON-0384,11/13/2025,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),40,11/1/2027,493,OK,Grocery Rescue,
DON-0385,11/13/2025,FI008,Canned Corn,Canned Vegetables,Can (15 oz),168,8/2/2028,768,OK,Grocery Rescue,
DON-0386,11/13/2025,FI024,Pancake Mix,Breakfast,Box (32 oz),64,9/26/2026,92,OK,Grocery Rescue,
DON-0387,11/15/2025,FI043,Bananas,Fresh Produce,Bunch (~7),19,11/19/2025,-219,EXPIRED,Grocery Rescue,
DON-0388,11/15/2025,FI039,White Sandwich Bread,Bread & Bakery,Loaf,61,11/21/2025,-217,EXPIRED,School Drive,
DON-0389,11/15/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),24,12/26/2025,-182,EXPIRED,School Drive,
DON-0390,11/15/2025,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),115,4/2/2026,-85,EXPIRED,Grocery Rescue,
DON-0391,11/15/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),45,4/9/2026,-78,EXPIRED,Grocery Rescue,
DON-0392,11/15/2025,FI024,Pancake Mix,Breakfast,Box (32 oz),59,6/19/2026,-7,EXPIRED,Grocery Rescue,
DON-0393,11/15/2025,FI033,Baby Food - Fruit,Baby & Infant,Jar (4 oz),32,8/29/2026,64,OK,School Drive,
DON-0394,11/15/2025,FI007,Peanut Butter,Canned Protein,Jar (16 oz),110,10/29/2026,125,OK,School Drive,
DON-0395,11/15/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),135,6/23/2027,362,OK,School Drive,
DON-0396,11/15/2025,FI008,Canned Corn,Canned Vegetables,Can (15 oz),169,12/28/2027,550,OK,School Drive,
DON-0397,11/15/2025,FI028,Canned Vegetable Soup,Soups & Meals,Can (19 oz),161,10/18/2028,845,OK,Grocery Rescue,
DON-0398,11/18/2025,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,48,11/22/2025,-216,EXPIRED,Individual Donor,
DON-0399,11/18/2025,FI043,Bananas,Fresh Produce,Bunch (~7),37,11/24/2025,-214,EXPIRED,Individual Donor,
DON-0400,11/18/2025,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),46,12/1/2025,-207,EXPIRED,Individual Donor,
DON-0401,11/18/2025,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),50,1/4/2026,-173,EXPIRED,Individual Donor,
DON-0402,11/18/2025,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),64,4/14/2026,-73,EXPIRED,Individual Donor,
DON-0403,11/18/2025,FI008,Canned Corn,Canned Vegetables,Can (15 oz),80,3/25/2028,638,OK,Individual Donor,
DON-0404,11/18/2025,FI004,Canned Black Beans,Canned Protein,Can (15 oz),108,9/29/2028,826,OK,Individual Donor,
DON-0405,11/19/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),16,12/18/2025,-190,EXPIRED,Individual Donor,
DON-0406,11/19/2025,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),90,3/27/2026,-91,EXPIRED,Individual Donor,
